# .PCD v.7 - Point Cloud Data file format
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 1553
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 1553
DATA ascii
-0.02052952 0.1147238 1.268
-0.01804286 0.1142714 1.263
-0.01563714 0.1142714 1.263
-0.01323143 0.1142714 1.263
-0.01082572 0.1142714 1.263
-0.00848 0.1150857 1.272
-0.006057143 0.1150857 1.272
-0.09114572 0.1211114 1.311
-0.08831048 0.1206495 1.306
-0.08549429 0.1201876 1.301
-0.08301619 0.1201876 1.301
-0.0805381 0.1201876 1.301
-0.07776 0.1197257 1.296
-0.07500095 0.1192638 1.291
-0.0725419 0.1192638 1.291
-0.07008285 0.1192638 1.291
-0.06762381 0.1192638 1.291
-0.06516477 0.1192638 1.291
-0.06270572 0.1192638 1.291
-0.06024667 0.1192638 1.291
-0.05778762 0.1192638 1.291
-0.05515714 0.1188943 1.287
-0.05270572 0.1188943 1.287
-0.05005905 0.1184324 1.282
-0.04761714 0.1184324 1.282
-0.04517524 0.1184324 1.282
-0.04256667 0.1179705 1.277
-0.03997714 0.1175086 1.272
-0.03755429 0.1175086 1.272
-0.03513143 0.1175086 1.272
-0.03270857 0.1175086 1.272
-0.03028571 0.1175086 1.272
-0.02777524 0.117139 1.268
-0.02536 0.117139 1.268
-0.02285429 0.1166771 1.263
-0.02044857 0.1166771 1.263
-0.01804286 0.1166771 1.263
-0.01558762 0.1163076 1.259
-0.01318952 0.1163076 1.259
-0.01082572 0.1166771 1.263
-0.008453334 0.117139 1.268
-0.006038095 0.117139 1.268
-0.09114572 0.1236086 1.311
-0.08831048 0.1231371 1.306
-0.08582287 0.1231371 1.306
-0.08301619 0.1226657 1.301
-0.0805381 0.1226657 1.301
-0.07776 0.1221943 1.296
-0.07500095 0.1217229 1.291
-0.0725419 0.1217229 1.291
-0.07008285 0.1217229 1.291
-0.06762381 0.1217229 1.291
-0.06516477 0.1217229 1.291
-0.06270572 0.1217229 1.291
-0.06024667 0.1217229 1.291
-0.05778762 0.1217229 1.291
-0.05515714 0.1213457 1.287
-0.05270572 0.1213457 1.287
-0.05005905 0.1208743 1.282
-0.04761714 0.1208743 1.282
-0.04499905 0.1204029 1.277
-0.0424 0.1199314 1.272
-0.03997714 0.1199314 1.272
-0.03755429 0.1199314 1.272
-0.03513143 0.1199314 1.272
-0.03260572 0.1195543 1.268
-0.03019048 0.1195543 1.268
-0.02777524 0.1195543 1.268
-0.02526 0.1190829 1.263
-0.02285429 0.1190829 1.263
-0.02044857 0.1190829 1.263
-0.01798571 0.1187057 1.259
-0.01558762 0.1187057 1.259
-0.01318952 0.1187057 1.259
-0.01082572 0.1190829 1.263
-0.008453334 0.1195543 1.268
-0.006038095 0.1195543 1.268
-0.003622857 0.1195543 1.268
-0.09364286 0.1261057 1.311
-0.09114572 0.1261057 1.311
-0.08831048 0.1256248 1.306
-0.08582287 0.1256248 1.306
-0.08301619 0.1251438 1.301
-0.0805381 0.1251438 1.301
-0.07776 0.1246629 1.296
-0.07500095 0.1241819 1.291
-0.0725419 0.1241819 1.291
-0.07008285 0.1241819 1.291
-0.06762381 0.1241819 1.291
-0.06516477 0.1241819 1.291
-0.06270572 0.1241819 1.291
-0.06024667 0.1241819 1.291
-0.05778762 0.1241819 1.291
-0.05515714 0.1237971 1.287
-0.05270572 0.1237971 1.287
-0.05005905 0.1233162 1.282
-0.04743143 0.1228352 1.277
-0.04499905 0.1228352 1.277
-0.0424 0.1223543 1.272
-0.03985143 0.1219695 1.268
-0.03743619 0.1219695 1.268
-0.03502095 0.1219695 1.268
-0.03260572 0.1219695 1.268
-0.03007143 0.1214886 1.263
-0.02766571 0.1214886 1.263
-0.02526 0.1214886 1.263
-0.02285429 0.1214886 1.263
-0.02044857 0.1214886 1.263
-0.01798571 0.1211038 1.259
-0.01558762 0.1211038 1.259
-0.01318952 0.1211038 1.259
-0.01082572 0.1214886 1.263
-0.008453334 0.1219695 1.268
-0.006038095 0.1219695 1.268
-0.003622857 0.1219695 1.268
-0.1060819 0.1316438 1.342
-0.1022914 0.1300743 1.326
-0.09938953 0.1295838 1.321
-0.09614 0.1286029 1.311
-0.09328572 0.1281124 1.306
-0.0907981 0.1281124 1.306
-0.08831048 0.1281124 1.306
-0.08582287 0.1281124 1.306
-0.08301619 0.1276219 1.301
-0.0805381 0.1276219 1.301
-0.07776 0.1271314 1.296
-0.07500095 0.126641 1.291
-0.0725419 0.126641 1.291
-0.07008285 0.126641 1.291
-0.06762381 0.126641 1.291
-0.06516477 0.126641 1.291
-0.06270572 0.126641 1.291
-0.06024667 0.126641 1.291
-0.05778762 0.126641 1.291
-0.05515714 0.1262486 1.287
-0.05270572 0.1262486 1.287
-0.05005905 0.1257581 1.282
-0.04743143 0.1252676 1.277
-0.04482286 0.1247771 1.272
-0.0424 0.1247771 1.272
-0.03985143 0.1243848 1.268
-0.03743619 0.1243848 1.268
-0.03502095 0.1243848 1.268
-0.03247714 0.1238943 1.263
-0.03007143 0.1238943 1.263
-0.02766571 0.1238943 1.263
-0.02526 0.1238943 1.263
-0.02285429 0.1238943 1.263
-0.02044857 0.1238943 1.263
-0.01804286 0.1238943 1.263
-0.01563714 0.1238943 1.263
-0.01323143 0.1238943 1.263
-0.01086857 0.1243848 1.268
-0.008453334 0.1243848 1.268
-0.006038095 0.1243848 1.268
-0.003622857 0.1243848 1.268
-0.1090429 0.1347 1.347
-0.1056076 0.1336 1.336
-0.1022914 0.1326 1.326
-0.09938953 0.1321 1.321
-0.09614 0.1311 1.311
-0.09328572 0.1306 1.306
-0.0907981 0.1306 1.306
-0.08831048 0.1306 1.306
-0.08549429 0.1301 1.301
-0.08301619 0.1301 1.301
-0.08022857 0.1296 1.296
-0.07776 0.1296 1.296
-0.07500095 0.1291 1.291
-0.0725419 0.1291 1.291
-0.07008285 0.1291 1.291
-0.06762381 0.1291 1.291
-0.06516477 0.1291 1.291
-0.06270572 0.1291 1.291
-0.06024667 0.1291 1.291
-0.05778762 0.1291 1.291
-0.05515714 0.1287 1.287
-0.05250096 0.1282 1.282
-0.04986381 0.1277 1.277
-0.04743143 0.1277 1.277
-0.04482286 0.1272 1.272
-0.0424 0.1272 1.272
-0.03985143 0.1268 1.268
-0.03743619 0.1268 1.268
-0.03502095 0.1268 1.268
-0.03247714 0.1263 1.263
-0.03007143 0.1263 1.263
-0.02766571 0.1263 1.263
-0.02526 0.1263 1.263
-0.02285429 0.1263 1.263
-0.02044857 0.1263 1.263
-0.01804286 0.1263 1.263
-0.01563714 0.1263 1.263
-0.01323143 0.1263 1.263
-0.01086857 0.1268 1.268
-0.008453334 0.1268 1.268
-0.006038095 0.1268 1.268
-0.003622857 0.1268 1.268
-0.1145981 0.1377753 1.352
-0.1120229 0.1377753 1.352
-0.1086381 0.1367562 1.342
-0.1052124 0.1356352 1.331
-0.1022914 0.1351257 1.326
-0.09901334 0.1341067 1.316
-0.09614 0.1335972 1.311
-0.09328572 0.1330876 1.306
-0.0907981 0.1330876 1.306
-0.08831048 0.1330876 1.306
-0.08549429 0.1325781 1.301
-0.08301619 0.1325781 1.301
-0.08022857 0.1320686 1.296
-0.07776 0.1320686 1.296
-0.07500095 0.131559 1.291
-0.0725419 0.131559 1.291
-0.07008285 0.131559 1.291
-0.06762381 0.131559 1.291
-0.06496286 0.1311514 1.287
-0.06251143 0.1311514 1.287
-0.06006 0.1311514 1.287
-0.05760857 0.1311514 1.287
-0.05515714 0.1311514 1.287
-0.05250096 0.1306419 1.282
-0.04986381 0.1301324 1.277
-0.04743143 0.1301324 1.277
-0.04482286 0.1296229 1.272
-0.04226667 0.1292152 1.268
-0.03985143 0.1292152 1.268
-0.03743619 0.1292152 1.268
-0.03502095 0.1292152 1.268
-0.03247714 0.1287057 1.263
-0.03007143 0.1287057 1.263
-0.02766571 0.1287057 1.263
-0.02526 0.1287057 1.263
-0.02285429 0.1287057 1.263
-0.02044857 0.1287057 1.263
-0.01804286 0.1287057 1.263
-0.01563714 0.1287057 1.263
-0.01323143 0.1287057 1.263
-0.01086857 0.1292152 1.268
-0.008453334 0.1292152 1.268
-0.006038095 0.1292152 1.268
-0.003622857 0.1292152 1.268
-0.1141743 0.1398314 1.347
-0.1106972 0.1386895 1.336
-0.1081524 0.1386895 1.336
-0.1052124 0.1381705 1.331
-0.1022914 0.1376514 1.326
-0.09901334 0.1366133 1.316
-0.09614 0.1360943 1.311
-0.09328572 0.1355752 1.306
-0.0907981 0.1355752 1.306
-0.08831048 0.1355752 1.306
-0.08549429 0.1350562 1.301
-0.08301619 0.1350562 1.301
-0.08022857 0.1345371 1.296
-0.07776 0.1345371 1.296
-0.07500095 0.1340181 1.291
-0.0725419 0.1340181 1.291
-0.07008285 0.1340181 1.291
-0.06762381 0.1340181 1.291
-0.06496286 0.1336029 1.287
-0.06251143 0.1336029 1.287
-0.06006 0.1336029 1.287
-0.05760857 0.1336029 1.287
-0.05515714 0.1336029 1.287
-0.05250096 0.1330838 1.282
-0.04986381 0.1325648 1.277
-0.04724571 0.1320457 1.272
-0.04482286 0.1320457 1.272
-0.04226667 0.1316305 1.268
-0.03969429 0.1311114 1.263
-0.03728857 0.1311114 1.263
-0.03488285 0.1311114 1.263
-0.03247714 0.1311114 1.263
-0.03007143 0.1311114 1.263
-0.02766571 0.1311114 1.263
-0.02526 0.1311114 1.263
-0.02285429 0.1311114 1.263
-0.02044857 0.1311114 1.263
-0.01804286 0.1311114 1.263
-0.01563714 0.1311114 1.263
-0.01323143 0.1311114 1.263
-0.01086857 0.1316305 1.268
-0.008453334 0.1316305 1.268
