# .PCD v.7 - Point Cloud Data file format
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 1723
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 1723
DATA ascii
0.01158857 -0.1764038 1.352
0.01416381 -0.1764038 1.352
0.01673905 -0.1764038 1.352
0.01931429 -0.1764038 1.352
0.03517714 -0.1784914 1.368
0.03778286 -0.1784914 1.368
0.04024095 -0.1778391 1.363
0.04299429 -0.1784914 1.368
0.0456 -0.1784914 1.368
0.04820571 -0.1784914 1.368
0.05081143 -0.1784914 1.368
-0.01667714 -0.1731857 1.347
-0.01411143 -0.1731857 1.347
-0.01158857 -0.1738286 1.352
-0.00898 -0.1731857 1.347
-0.006414286 -0.1731857 1.347
-0.003848572 -0.1731857 1.347
-0.001282857 -0.1731857 1.347
0.001287619 -0.1738286 1.352
0.003862857 -0.1738286 1.352
0.006438096 -0.1738286 1.352
0.009013334 -0.1738286 1.352
0.01158857 -0.1738286 1.352
0.01416381 -0.1738286 1.352
0.01673905 -0.1738286 1.352
0.01931429 -0.1738286 1.352
0.03517714 -0.1758857 1.368
0.03778286 -0.1758857 1.368
0.04038857 -0.1758857 1.368
0.04299429 -0.1758857 1.368
0.0456 -0.1758857 1.368
0.04820571 -0.1758857 1.368
0.05081143 -0.1758857 1.368
-0.01667714 -0.17062 1.347
-0.01411143 -0.17062 1.347
-0.01158857 -0.1712533 1.352
-0.009013334 -0.1712533 1.352
-0.006438096 -0.1712533 1.352
-0.003848572 -0.17062 1.347
-0.001282857 -0.17062 1.347
0.001287619 -0.1712533 1.352
0.003862857 -0.1712533 1.352
0.006438096 -0.1712533 1.352
0.009013334 -0.1712533 1.352
0.01158857 -0.1712533 1.352
0.01416381 -0.1712533 1.352
0.01673905 -0.1712533 1.352
0.01931429 -0.1712533 1.352
0.03517714 -0.17328 1.368
0.03764476 -0.1726467 1.363
0.04024095 -0.1726467 1.363
0.04283714 -0.1726467 1.363
0.0456 -0.17328 1.368
0.04820571 -0.17328 1.368
0.05103429 -0.17404 1.374
0.05365143 -0.17404 1.374
-0.01667714 -0.1680543 1.347
-0.01411143 -0.1680543 1.347
-0.01158857 -0.1686781 1.352
-0.00898 -0.1680543 1.347
-0.006414286 -0.1680543 1.347
-0.003848572 -0.1680543 1.347
-0.001282857 -0.1680543 1.347
0.001282857 -0.1680543 1.347
0.003862857 -0.1686781 1.352
0.006438096 -0.1686781 1.352
